Designator,Footprint,Quantity,Value,LCSC Part #
"_6, _5, _4, _3, _2, ",,6,,
"+12V, +5V, +5V SYS, +5V USB, +VBAT, 3V3_3, 3V3_2, 3V3, GND_2, GND, IRQ_2, IRQ, NRST",TestPoint-0.5mm,13,0.5mm,
"AE1, AE2",ANT_2450AT42A100E_JOT,2,2450AT42A100E,C2917719
C1,CAP_EEVFK1E102Q,1,1000uF,C178725
"C10, C11",CAP_EEEFNE181XUV,2,180uF,C540948
"C12, C51",0603,2,10uF,C48579265
"C13, C16, C20, C22, C26, C28, C33, C36, C38, C49, C55, C57, C6, C61, C62, C7, C9",0603,17,1uF,C15849
"C14, C15",0603,2,4.7uF,C1705
"C17, C18, C21, C25, C27, C30, C32, C42, C43, C48, C54, C58, C63",0402,13,0.1uF,C48579249
"C19, C60",0603,2,10uF,C15849
"C2, C3, C4",CAPPM7343X310N,3,15uF,C382110
"C23, C24, C44, C45, C46, C47, C52, C53",0402,8,10pF,C106199
C29,0402,1,2.3pF,C2220993
C31,0402,1,1.6pF,C161311
"C34, C41",0402,2,18pF,C106202
"C35, C69, C71",0402,3,10nF,CL05B103KB5NNNC
C37,0402,1,0.47uF,C92361
C39,0402,1,120pF,C106996
C40,0603,1,2.2uF,C48579298
C5,0402,1,0.47uF,C471404
"C50, C59",0402,2,470pF,C76971
C56,0402,1,470pF,
"C64, C65",0402,2,22pF,C76960
C66,0402,1,1.5pF,C76901
C67,0402,1,1pF,C76898
"C68, C70",0402,2,33nF,C7419416
C72,0402,1,1nF,C77018
C8,0402,1,0.01uF,C5137480
D1,D_SMC,1,SS54,C22452
"D10, D11, D9",0603,3,LEDs,C19171301
"D12, D8",D_SOD-923,2,ESD9B3.3ST5G,C96512
D2,D_SMB,1,SMBJ12A,C151251
"D3, D6",D_SMA,2,SS14,C2837270
"D4, D7",D_SMB_TVS,2,SMBJ5.0CA,C5331095
D5,TO-263-2_TabPin1,1,MBRB735,C6604203
"F1, F2",FUSE_1812L05060_LTF,2,PTC_FUSE,C163516
J1,MPD_EJ503A,1,CON_12VDC_IN,C3095117
"J10, J14",LINX_CONMHF1-SMD-G-T,2,CONMHF1,C22442695
J11,ABRACON_ARJM11D7-009-AB-EW2,1,ARJM11D7-009-AB-EW2,C3179097
"J12, J13",PinHeader_1x10_P2.54mm_Vertical,2,PINHD,
J2,Molex_PicoBlade_53261-0371_1x03-1MP_P1.25mm_Horizontal,1,Conn_BAT,C293630
J3,USB_C_Receptacle_GCT_USB4085,1,Conn_USB_C,C7095263
"J4, J5",PinHeader_1x10_P2.54mm_Vertical,2,PINHD,C492409
"J6, J8",PinSocket_1x10_P2.54mm_Vertical,2,PINHD,C5444407
J7,PinHeader_2x02_P1.00mm_Vertical,1,PINHD,C225517
J9,PinHeader_1x06_P1.00mm_Vertical,1,JTAG,C52016393
L1,IND_XAL6060-223MEB,1,22uH,C475917
L10,0402,1,8.2nH,C84404
L11,0402,1,2.7nH,C162541
"L2, L8",R_0603,2,FerriteBead_0603_1.5A,C2442094
L3,0402,1,2.5nH,C237342
L4,0402,1,1.7nH,C237342
"L5, L6",0201,2,FerriteBead_0603_1.5A,C97850
L7,0603,1,FerriteBead,C14709
L9,0402,1,3.9nH,C98062
Q1,SOT-23,1,FDN340P,C75469
Q2,SOT-23,1,BC817,C609806
"R1, R2",0603,2,5.1k,C2907114
"R10, R12, R13, R14, R24, R37, R4, R44, R55, R56, R57, R60, R8, R9",0603,14,10k,C2906982
"R11, R3, R59, R6",0603,4,100k,C2906980
"R15, R16, R17, R18, R19, R7",0603,6,470k,C2930293
R20,THRMC1005X55N,1,10k,C17294780
R21,0805,1,330k,C2907257
R22,0805,1,110k,C2907221
"R23, R31",0603,2,1K,C49196685
"R25, R26, R32, R34",0603,4,4.7k,C2907034
"R27, R28, R30",0402,3,22,C2929994
"R29, R33, R64, R65",0402,4,0,C106231
R38,0603,1,2.2k,C114662
"R39, R40, R41, R42, R43, R45, R46, R47, R48, R49",0402,10,33,C2906868
"R5, R58",0402,2,100,C2906860
R50,0603,1,12.1k,C2930059
"R51, R52, R53, R54",0402,4,50,C853312
R61,0603,1,10k,
R62,0402,1,1M,C138033
R63,0603,1,22k,C2907015
"SW1, SW2",SW_Push_SPST_NO_Alps_SKRK,2,uC_Reset,C115357
U1,TSSOP-20_4.4x6.5mm_P0.65mm,1,TCA9544A,C2674619
U10,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,MCP73871,C5121473
U11,SOT-23-6,1,WE-TVS-824015043,824015043
U12,LAN8720A,1,LAN8720A,C17146
U13,Texas_DRT-3,1,TPD2EUSB30A,C94934
U14,XCVR_EFR32MG24B310F1536IM48-B,1,EFR32MG24B310F1536IM48-B,C6033379
"U15, U20, U9",SOT-23-6,3,WE-TVS-824015043,
U16,SON50P200X300X60-9N,1,ATECC608A-MAHDA-T,C4749250
"U17, U19",SOIC127P600X175-8N,2,24AA02E48-I_SN,C81475
