Designator,Mid X,Mid Y,Rotation,Layer
_6,119.282053,-32.82303,0.0,top
_5,157.162053,-34.53303,0.0,top
_4,119.250984,-58.246038,0.0,top
_3,193.47,-81.99,0.0,top
_2,193.43,-139.51,0.0,top
,119.15,-139.64,0.0,top
+12V,117.78,-115.93,0.0,top
+5V,139.64,-95.62,0.0,top
+5V SYS,152.13,-113.71,0.0,top
+5V USB,131.25,-87.12,0.0,top
+VBAT,147.95,-136.03,0.0,top
3V3_3,152.2,-107.38,0.0,top
3V3_2,172.972053,-34.13303,0.0,top
3V3,167.370984,-67.566038,0.0,top
AE1,143.591187,-47.583273,270.0,top
AE2,118.197558,-63.747294,90.0,top
C1,124.47,-129.84,270.0,top
C10,145.86,-102.47,180.0,bottom
C11,137.73,-110.24,0.0,bottom
C12,188.685,-93.86,180.0,top
C13,149.68,-117.3225,180.0,bottom
C14,144.5,-120.855,270.0,bottom
C15,152.21,-118.495,90.0,bottom
C16,188.685,-95.53,0.0,top
C17,188.19,-96.96,180.0,top
C18,169.77,-104.45,0.0,top
C19,137.280984,-64.961038,90.0,bottom
C2,134.92,-111.97,0.0,top
C20,136.500984,-62.616038,0.0,bottom
C21,141.810984,-58.986038,270.0,top
C22,141.450984,-61.671038,90.0,bottom
C23,132.580984,-59.106038,270.0,top
C24,130.910984,-59.166038,270.0,top
C25,139.260984,-62.386038,0.0,bottom
C26,139.765984,-71.036038,180.0,top
C27,139.290984,-67.556038,180.0,top
C28,141.895984,-66.066038,0.0,top
C29,129.410984,-65.616038,270.0,top
C3,121.51,-116.76,270.0,top
C30,139.300984,-68.596038,180.0,top
C31,126.140984,-65.646038,270.0,top
C32,139.300984,-66.526038,180.0,top
C33,141.885984,-67.656038,0.0,top
C34,122.575551,-66.115094,0.0,top
C35,139.290984,-69.656038,180.0,top
C36,141.885984,-69.266038,0.0,top
C37,128.300984,-67.096038,0.0,top
C38,126.380984,-68.436038,270.0,top
C39,128.270984,-68.176038,0.0,top
C4,126.97,-116.75,270.0,top
C40,127.236753,-63.08245,270.0,top
C41,129.020984,-64.096038,0.0,top
C42,190.35,-114.93,270.0,top
C43,178.3,-93.24,270.0,top
C44,163.898041,-118.964959,90.0,top
